"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty38065","Oliver County, ND",46266
"cty36059","Nassau County, NY",44674
"cty36119","Westchester County, NY",43864
"cty38075","Renville County, ND",43686
"cty34003","Bergen County, NJ",43413
"cty46063","Harding County, SD",43394
"cty38033","Golden Valley County, ND",43217
"cty46119","Sully County, SD",42957
"cty41021","Gilliam County, OR",42931
"cty38011","Bowman County, ND",42823
"cty38025","Dunn County, ND",42769
"cty38053","McKenzie County, ND",42489
"cty38007","Billings County, ND",42471
"cty34027","Morris County, NJ",42459
"cty36079","Putnam County, NY",42100
"cty25021","Norfolk County, MA",42029
"cty38043","Kidder County, ND",41824
"cty46059","Hand County, SD",41813
"cty38089","Stark County, ND",41775
"cty31075","Grant County, NE",41752
"cty38045","LaMoure County, ND",41696
"cty51059","Fairfax County, VA",41650
"cty38019","Cavalier County, ND",41597
"cty24027","Howard County, MD",41402
"cty46021","Campbell County, SD",41332
"cty24031","Montgomery County, MD",41257
"cty48137","Edwards County, TX",41161
"cty34035","Somerset County, NJ",41153
"cty51610","Falls Church city, VA",41009
"cty51600","Fairfax city, VA",40736
"cty08113","San Miguel County, CO",40660
"cty38091","Steele County, ND",40610
"cty25017","Middlesex County, MA",40563
"cty38057","Mercer County, ND",40530
"cty36085","Richmond County, NY",40425
"cty48045","Briscoe County, TX",40350
"cty38031","Foster County, ND",40311
"cty34019","Hunterdon County, NJ",40138
"cty09001","Fairfield County, CT",40131
"cty20135","Ness County, KS",40079
"cty38027","Eddy County, ND",39952
"cty22093","St. James Parish, LA",39850
"cty27019","Carver County, MN",39800
"cty06041","Marin County, CA",39769
"cty38037","Grant County, ND",39763
"cty48433","Stonewall County, TX",39741
"cty34023","Middlesex County, NJ",39588
"cty31027","Cedar County, NE",39538
"cty31011","Boone County, NE",39537
"cty34025","Monmouth County, NJ",39532
"cty36087","Rockland County, NY",39424
"cty34039","Union County, NJ",39409
"cty27163","Washington County, MN",39384
"cty36103","Suffolk County, NY",39374
"cty06081","San Mateo County, CA",39346
"cty38009","Bottineau County, ND",39247
"cty19009","Audubon County, IA",39206
"cty17043","DuPage County, IL",39189
"cty30025","Fallon County, MT",39141
"cty46087","McCook County, SD",39072
"cty20131","Nemaha County, KS",39053
"cty38013","Burke County, ND",39009
"cty48357","Ochiltree County, TX",38941
"cty19109","Kossuth County, IA",38909
"cty27037","Dakota County, MN",38890
"cty38077","Richland County, ND",38866
"cty30109","Wibaux County, MT",38830
"cty42091","Montgomery County, PA",38816
"cty38049","McHenry County, ND",38760
"cty48435","Sutton County, TX",38741
"cty31073","Gosper County, NE",38737
"cty55089","Ozaukee County, WI",38717
"cty38105","Williams County, ND",38712
"cty38061","Mountrail County, ND",38686
"cty17013","Calhoun County, IL",38680
"cty51107","Loudoun County, VA",38664
"cty38067","Pembina County, ND",38656
"cty42029","Chester County, PA",38597
"cty09007","Middlesex County, CT",38577
"cty38059","Morton County, ND",38509
"cty46045","Edmunds County, SD",38496
"cty08097","Pitkin County, CO",38483
"cty19161","Sac County, IA",38441
"cty38015","Burleigh County, ND",38438
"cty19027","Carroll County, IA",38401
"cty38097","Traill County, ND",38386
"cty55093","Pierce County, WI",38378
"cty19075","Grundy County, IA",38368
"cty27139","Scott County, MN",38327
"cty55091","Pepin County, WI",38307
"cty25009","Essex County, MA",38298
"cty31169","Thayer County, NE",38252
"cty27125","Red Lake County, MN",38239
"cty38055","McLean County, ND",38216
"cty34037","Sussex County, NJ",38157
"cty27149","Stevens County, MN",38155
"cty27015","Brown County, MN",38115
"cty38081","Sargent County, ND",38085
"cty46025","Clark County, SD",38084
"cty55133","Waukesha County, WI",38056
"cty27129","Renville County, MN",38044
"cty17097","Lake County, IL",38038
"cty38087","Slope County, ND",38010
"cty25023","Plymouth County, MA",37978
"cty12043","Glades County, FL",37930
"cty20123","Mitchell County, KS",37924
"cty38095","Towner County, ND",37917
"cty31039","Cuming County, NE",37912
"cty48413","Schleicher County, TX",37892
"cty08057","Jackson County, CO",37890
"cty48285","Lavaca County, TX",37888
"cty31177","Washington County, NE",37884
"cty27049","Goodhue County, MN",37862
"cty46069","Hyde County, SD",37862
"cty31149","Rock County, NE",37846
"cty51013","Arlington County, VA",37839
"cty38001","Adams County, ND",37781
"cty20081","Haskell County, KS",37773
"cty55131","Washington County, WI",37771
"cty02016","Aleutians West Census Area, AK",37753
"cty39107","Mercer County, OH",37723
"cty31143","Polk County, NE",37715
"cty42017","Bucks County, PA",37713
"cty31135","Perkins County, NE",37689
"cty27127","Redwood County, MN",37645
"cty31127","Nemaha County, NE",37641
"cty27069","Kittson County, MN",37639
"cty36001","Albany County, NY",37634
"cty27089","Marshall County, MN",37607
"cty20083","Hodgeman County, KS",37600
"cty35021","Harding County, NM",37592
"cty09013","Tolland County, CT",37591
"cty39137","Putnam County, OH",37590
"cty31023","Butler County, NE",37585
"cty19151","Pocahontas County, IA",37573
"cty38017","Cass County, ND",37553
"cty09003","Hartford County, CT",37538
"cty20039","Decatur County, KS",37534
"cty27053","Hennepin County, MN",37529
"cty30019","Daniels County, MT",37505
"cty56027","Niobrara County, WY",37472
"cty20091","Johnson County, KS",37455
"cty18037","Dubois County, IN",37447
"cty48393","Roberts County, TX",37441
