"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty28071","Lafayette County, MS",56701
"cty31155","Saunders County, NE",51716
"cty42115","Susquehanna County, PA",51541
"cty42005","Armstrong County, PA",50213
"cty48003","Andrews County, TX",48486
"cty56033","Sheridan County, WY",48410
"cty24027","Howard County, MD",45412
"cty18011","Boone County, IN",45107
"cty55085","Oneida County, WI",45020
"cty17055","Franklin County, IL",44918
"cty27013","Blue Earth County, MN",44718
"cty35028","Los Alamos County, NM",44692
"cty39123","Ottawa County, OH",44607
"cty34027","Morris County, NJ",44457
"cty22061","Lincoln Parish, LA",44039
"cty51061","Fauquier County, VA",44021
"cty24035","Queen Anne's County, MD",43466
"cty05139","Union County, AR",43443
"cty34019","Hunterdon County, NJ",43179
"cty25021","Norfolk County, MA",43056
"cty47043","Dickson County, TN",43055
"cty34035","Somerset County, NJ",43034
"cty27163","Washington County, MN",42769
"cty27049","Goodhue County, MN",42726
"cty38015","Burleigh County, ND",42724
"cty27135","Roseau County, MN",42294
"cty39041","Delaware County, OH",42274
"cty26111","Midland County, MI",41892
"cty34003","Bergen County, NJ",41848
"cty51059","Fairfax County, VA",41763
"cty18037","Dubois County, IN",41690
"cty42015","Bradford County, PA",41616
"cty54039","Kanawha County, WV",41470
"cty34023","Middlesex County, NJ",41435
"cty05145","White County, AR",41307
"cty36079","Putnam County, NY",41274
"cty39139","Richland County, OH",41213
"cty01125","Tuscaloosa County, AL",41149
"cty36049","Lewis County, NY",41116
"cty29189","St. Louis County, MO",41062
"cty54079","Putnam County, WV",40953
"cty51540","Charlottesville city, VA",40921
"cty34025","Monmouth County, NJ",40768
"cty36093","Schenectady County, NY",40756
"cty06085","Santa Clara County, CA",40678
"cty24031","Montgomery County, MD",40652
"cty24005","Baltimore County, MD",40642
"cty47113","Madison County, TN",40618
"cty17043","DuPage County, IL",40565
"cty22033","East Baton Rouge Parish, LA",40542
"cty42093","Montour County, PA",40464
"cty36059","Nassau County, NY",40377
"cty28073","Lamar County, MS",40307
"cty21167","Mercer County, KY",40304
"cty18043","Floyd County, IN",40277
"cty42091","Montgomery County, PA",40271
"cty19049","Dallas County, IA",40250
"cty41007","Clatsop County, OR",40242
"cty37059","Davie County, NC",40202
"cty18163","Vanderburgh County, IN",40189
"cty51073","Gloucester County, VA",40111
"cty13009","Baldwin County, GA",40088
"cty37139","Pasquotank County, NC",40062
"cty39017","Butler County, OH",40041
"cty36083","Rensselaer County, NY",40035
"cty25017","Middlesex County, MA",40009
"cty17105","Livingston County, IL",39979
"cty18057","Hamilton County, IN",39872
"cty51610","Falls Church city, VA",39870
"cty42069","Lackawanna County, PA",39781
"cty55043","Grant County, WI",39754
"cty40051","Grady County, OK",39728
"cty54033","Harrison County, WV",39602
"cty42003","Allegheny County, PA",39597
"cty06075","San Francisco County, CA",39575
"cty55047","Green Lake County, WI",39573
"cty39029","Columbiana County, OH",39569
"cty42029","Chester County, PA",39542
"cty51161","Roanoke County, VA",39500
"cty44001","Bristol County, RI",39492
"cty48157","Fort Bend County, TX",39487
"cty42107","Schuylkill County, PA",39479
"cty24037","St. Mary's County, MD",39449
"cty01115","St. Clair County, AL",39423
"cty06081","San Mateo County, CA",39383
"cty42045","Delaware County, PA",39375
"cty42123","Warren County, PA",39352
"cty06041","Marin County, CA",39340
"cty06001","Alameda County, CA",39312
"cty24009","Calvert County, MD",39307
"cty21157","Marshall County, KY",39298
"cty19103","Johnson County, IA",39238
"cty21185","Oldham County, KY",39227
"cty42017","Bucks County, PA",39189
"cty40139","Texas County, OK",39159
"cty19169","Story County, IA",39159
"cty55089","Ozaukee County, WI",39130
"cty55031","Douglas County, WI",39129
"cty48357","Ochiltree County, TX",39096
"cty21067","Fayette County, KY",39079
"cty36107","Tioga County, NY",39054
"cty36119","Westchester County, NY",39045
"cty42041","Cumberland County, PA",38931
"cty51179","Stafford County, VA",38902
"cty26061","Houghton County, MI",38876
"cty13073","Columbia County, GA",38833
"cty36017","Chenango County, NY",38830
"cty36027","Dutchess County, NY",38829
"cty48085","Collin County, TX",38822
"cty24003","Anne Arundel County, MD",38766
"cty01117","Shelby County, AL",38692
"cty17037","DeKalb County, IL",38664
"cty26165","Wexford County, MI",38652
"cty22113","Vermilion Parish, LA",38642
"cty26125","Oakland County, MI",38620
"cty20125","Montgomery County, KS",38584
"cty16069","Nez Perce County, ID",38579
"cty39083","Knox County, OH",38559
"cty19183","Washington County, IA",38488
"cty02110","Juneau City and Borough, AK",38478
"cty51107","Loudoun County, VA",38450
"cty42131","Wyoming County, PA",38433
"cty53049","Pacific County, WA",38422
"cty17177","Stephenson County, IL",38421
"cty26161","Washtenaw County, MI",38403
"cty36085","Richmond County, NY",38381
"cty49051","Wasatch County, UT",38349
"cty06013","Contra Costa County, CA",38344
"cty51069","Frederick County, VA",38260
"cty01109","Pike County, AL",38257
"cty09007","Middlesex County, CT",38231
"cty33013","Merrimack County, NH",38215
